product_id,name,category,quantity,min_threshold,location
P001,Câble USB,Électronique,110,17,A1-R6
P002,Clavier,Alimentaire,186,25,A4-R2
P003,Souris,Textile,92,26,A3-R5
P004,Écran 24'',Outillage,99,19,A2-R1
P005,Disque SSD,Bureautique,36,21,A5-R3
P006,Riz 5kg,Électronique,31,27,A5-R1
P007,Huile olive,Alimentaire,69,22,A1-R5
P008,Sucre 1kg,Textile,156,24,A2-R5
P009,Café 250g,Outillage,32,29,A3-R2
P010,Pâtes 500g,Bureautique,180,23,A4-R6
P011,T-shirt M,Électronique,156,13,A2-R5
P012,Jean,Alimentaire,104,19,A1-R2
P013,Veste cuir,Textile,118,13,A4-R5
P014,Chaussettes,Outillage,142,28,A4-R5
P015,Casquette,Bureautique,85,29,A3-R1
P016,Marteau,Électronique,78,28,A2-R6
P017,Tournevis,Alimentaire,33,19,A4-R6
P018,Perceuse,Textile,54,19,A1-R4
P019,Mètre ruban,Outillage,143,19,A2-R4
P020,Clé anglaise,Bureautique,60,21,A4-R3
P021,Cahier A4,Électronique,189,18,A1-R5
P022,Stylo bille,Alimentaire,169,22,A4-R4
P023,Agrafeuse,Textile,37,16,A4-R6
P024,Ciseaux,Outillage,169,18,A5-R1
P025,Calculatrice,Bureautique,171,17,A5-R3
P026,Tablette,Électronique,71,14,A4-R3
P027,Chargeur,Alimentaire,134,12,A5-R1
P028,Casque audio,Textile,55,26,A1-R1
P029,Webcam,Outillage,163,25,A4-R6
P030,Imprimante,Bureautique,139,19,A4-R4
